delta/B,6A1g,4T1g(G),4T2g(G),4A1g/4Eg(G),4T1g(P),4T2g(D),4Eg(D),2T2g(I),2A2g(I),2T1g(I),2T2g(I),2Eg(I),2A1g(I),2T2g,2Eg,2T1g,4A2g(F),4T1g(F),4T2g(F),2A2g(H),2T2g(H),2T1g(H),2Eg(H),2T1g(H),2T2g(H),2A1g,2T2g,2Eg,2T1g,2T2g,2A2g,2T1g,2A1g(S),2Eg(D),2T2g(D),2Eg,2T1g,2T2g,2A1g,2T1g,2T2g,2Eg
20.9545975,0,15.0407439,21.6679523,32.3981374,48.5554319,35.8855646,39.3981374,14.1216333,30.4966822,30.8246705,32.9395797,35.2906624,44.9784412,44.9352573,47.3150815,60.5167462,53.3573914,41.4346484,67.6001502,58.5085809,49.7938591,56.95056,54.9454924,58.7749849,57.1128405,50.1691246,68.7790303,64.9851735,66.9395693,82.5618754,74.4650512,73.9208813,64.1342712,78.5539057,86.3035553,84.0730303,87.1450803,92.508936,96.0254971,103.502038,118.028414,118.451322
21.6530857,0,14.3619569,21.0496321,32.3981374,48.6807532,35.8553527,39.3981374,12.7895739,29.8224016,30.1515623,32.2954342,34.6551199,44.6894203,44.3583353,47.1274796,61.0702119,53.3573914,40.834099,68.2486834,58.5290955,49.7499255,56.9503062,54.8425227,58.7787288,57.0819569,49.8873469,69.0364214,64.990305,67.0637939,82.9348836,75.1188172,74.5685634,64.0776414,78.4723842,87.173163,84.5580058,87.3592631,92.9123772,96.6529255,103.786118,118.75291,118.968851
22.351572,0,13.6822666,20.4259569,32.3981374,48.7944098,35.8277893,39.3981374,11.4551723,29.1467998,29.4770233,31.6487648,34.0157835,44.3646834,43.7683434,46.9310186,61.6362468,53.3573914,40.2302328,68.899922,58.5477718,49.7135297,56.950078,54.7393143,58.782149,57.0540536,49.6335972,69.2801537,64.9857066,67.1820012,83.3168743,75.7757416,75.2160466,64.0251455,78.3879895,88.0330431,85.0615262,87.5724331,93.305844,97.283908,104.08247,119.509205,119.493327
23.0500584,0,13.0017357,19.7974249,32.3981374,48.8976054,35.8025867,39.3981374,10.1185681,28.4699814,28.8011758,30.9997602,33.3730128,44.0046182,43.1675437,46.7250547,62.2135797,53.3573914,39.6232165,69.5536554,58.5648207,49.6829558,56.9498708,54.6362375,58.7852806,57.0287672,49.4080873,69.5105495,64.9724715,67.2944808,83.707525,76.4355111,75.8628917,63.9764389,78.302397,88.8833469,85.5811106,87.7844156,93.6893295,97.9181886,104.3911,120.296637,120.024385
23.7485447,0,12.3204249,19.1644796,32.3981374,48.9914366,35.7794924,39.3981374,8.77988824,27.7920419,28.1241234,30.3485902,32.7271199,43.6107672,42.5576659,46.5090047,62.8010605,53.3573914,39.0132061,70.209695,58.5804226,49.6569523,56.9496834,54.5336566,58.788156,57.005787,49.2098265,69.7280035,64.9516356,67.4015134,84.1062887,77.0978498,76.5086438,63.9312072,78.2168149,89.7243551,86.1147567,87.9951315,94.0630419,98.5555332,104.711976,121.114409,120.561681
24.447031,0,11.6383842,18.5275134,32.3981374,49.0768894,35.7582852,39.3981374,7.43925029,27.1130664,27.4459627,29.6954075,32.0783795,43.1855495,41.940057,46.2823551,63.3976484,53.3573914,38.4003446,70.8678685,58.5947334,49.6345937,56.9495122,54.4319313,58.7908009,56.9848452,49.0368941,69.9329767,64.9241688,67.5033667,84.51244,77.7625146,77.1528172,63.8891595,78.1321199,90.5564179,86.6608219,88.2045995,94.4273935,99.1957299,105.045028,121.9616,121.104892
25.1455173,0,10.9556624,17.8868743,32.3981374,49.1548475,35.7387695,39.3981374,6.09676135,26.4331304,26.7667788,29.0403504,31.4270349,42.7319127,41.315787,46.0446566,64.0024121,53.3573914,37.7847672,71.5280233,58.6078894,49.6151839,56.9493574,54.3314051,58.7932398,56.9657101,48.8868033,70.1259732,64.8909767,67.6002992,84.9251211,78.4292945,77.7948824,63.8500314,78.048943,91.3799162,87.2179383,88.4129534,94.7829884,99.8385867,105.390154,122.837193,121.639069
25.8440056,0,10.2723027,17.2428754,32.3981374,49.2260978,35.7207753,39.3981374,4.75251921,25.7523038,26.0866473,28.3835413,30.7733003,42.2529919,40.6857148,45.795532,64.6145215,53.3573914,37.1666019,72.1900163,58.6200116,49.5981886,56.9492142,54.2324005,58.7954936,56.9481816,48.7568347,70.3075343,64.8528952,67.69256,85.3433644,79.0979988,78.4342503,63.8135821,77.9677322,92.195234,87.7849476,88.6204517,95.1306135,100.483925,105.747215,123.740093,122.1762681
26.5424919,0,9.58834459,16.5957939,32.3981374,49.2913399,35.7041513,39.3981374,3.4066135,25.0706508,25.4056391,27.7250943,30.1173655,41.7518626,40.050546,45.5346671,65.2332375,53.3573914,36.5459651,72.8537218,58.6312037,49.5831944,56.9490838,54.1352154,58.7975786,56.9320861,48.6442957,70.4782224,64.8106927,67.7803865,85.7661048,79.768461,79.0702515,63.7795891,77.8887998,93.0027322,88.3608568,88.8274866,95.4712421,101.131587,106.116042,124.669147,122.7134672
27.2409782,0,8.90382421,15.9458801,32.3981374,49.3511956,35.6887648,39.3981374,2.05912806,24.3882258,24.7238149,27.0651141,29.4594028,41.2313714,39.4108673,45.2618242,65.8579022,53.3573914,35.9229697,73.5190221,58.6415565,49.5698778,56.9489639,54.0401176,58.7995122,56.9172724,48.5466903,70.63861,64.765071,67.8640093,86.1921991,80.440532,79.7021199,63.7478522,77.8123551,93.802695,88.9448114,89.0346088,95.8060547,101.781421,106.496437,125.623164,123.2506663
27.9394646,0,8.21877416,15.2933574,32.3981374,49.4062142,35.6744983,39.3981374,0.710142026,23.7050827,24.0412328,26.4036927,28.7995611,40.6940629,38.7671665,44.9768277,66.4879325,53.3573914,35.2977183,74.1858114,58.6511525,49.5579802,56.9488522,53.9473423,58.8013085,56.9036077,48.4617893,70.7892724,64.7166659,67.9436438,86.6204331,81.1140803,80.3289651,63.7181886,77.7385332,94.5952119,89.5360617,89.2425413,96.1365355,102.433295,106.888171,126.600939,123.7878654
28.6379509,0.640274738,8.17350175,15.278702,33.0384121,50.0971595,36.3015227,40.0384121,0,23.6615425,23.9982189,26.3811921,28.7782549,40.7824319,38.7601374,45.3198487,67.7630861,53.9976671,35.3105856,75.4942678,59.3003376,50.1875681,57.5890256,54.4973644,59.4432549,57.5312538,49.0279406,71.5710524,65.3063236,68.6597742,87.6898056,82.4292596,81.5900221,64.3307078,78.307681,96.0200687,90.7742305,90.0924808,97.1051199,103.727355,107.93127,128.241537,124.3250645
29.3364372,1.99205588,8.83926426,15.973326,34.3901932,51.4956915,37.6409744,41.3901932,0,24.3288801,24.6660512,27.0689208,29.4668347,41.5696147,39.4613655,46.3620757,69.7541327,55.3494482,36.0328952,77.5155332,60.6604051,51.5297008,58.9407113,55.7615774,60.7965937,58.8713353,50.3147334,73.0557346,66.605787,70.08383,89.4702189,84.4571956,83.555291,65.6564878,79.5910559,98.1454563,92.7299662,91.6568102,98.7878184,105.734721,109.696695,130.614985,124.8622636
